Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Asia,Afganistán,Viñedo,Superficie,2013,ha, 66 777
Asia,Afganistán,Viñedo,Superficie,2014,ha, 84 285
Asia,Afganistán,Viñedo,Superficie,2015,ha, 84 582
Asia,Afganistán,Viñedo,Superficie,2016,ha, 88 634
Asia,Afganistán,Viñedo,Superficie,2017,ha, 93 734
Asia,Afganistán,Viñedo,Superficie,2018,ha, 94 081
Asia,Afganistán,Viñedo,Superficie,2019,ha, 96 312
Asia,Afganistán,Viñedo,Superficie,2020,ha, 99 528
Asia,Afganistán,Viñedo,Superficie,2021,ha, 99 593
Asia,Afganistán,Viñedo,Superficie,2022,ha, 99 975
Asia,Afganistán,Viñedo,Superficie,2023,ha, 99 975
Europa,Albania,Viñedo,Superficie,2013,ha, 10 297
Europa,Albania,Viñedo,Superficie,2014,ha, 10 347
Europa,Albania,Viñedo,Superficie,2015,ha, 10 633
Europa,Albania,Viñedo,Superficie,2016,ha, 10 762
Europa,Albania,Viñedo,Superficie,2017,ha, 11 497
Europa,Albania,Viñedo,Superficie,2018,ha, 10 942
Europa,Albania,Viñedo,Superficie,2019,ha, 11 024
Europa,Albania,Viñedo,Superficie,2020,ha, 11 239
Europa,Albania,Viñedo,Superficie,2021,ha, 11 339
Europa,Albania,Viñedo,Superficie,2022,ha, 11 451
Europa,Albania,Viñedo,Superficie,2023,ha, 11 451
Europa,Alemania,Viñedo,Superficie,2013,ha, 102 427
Europa,Alemania,Viñedo,Superficie,2014,ha, 102 439
Europa,Alemania,Viñedo,Superficie,2015,ha, 102 543
Europa,Alemania,Viñedo,Superficie,2016,ha, 102 493
Europa,Alemania,Viñedo,Superficie,2017,ha, 102 592
Europa,Alemania,Viñedo,Superficie,2018,ha, 102 873
Europa,Alemania,Viñedo,Superficie,2019,ha, 102 873
Europa,Alemania,Viñedo,Superficie,2020,ha, 103 180
Europa,Alemania,Viñedo,Superficie,2021,ha, 103 421
Europa,Alemania,Viñedo,Superficie,2022,ha, 103 400
Europa,Alemania,Viñedo,Superficie,2023,ha, 103 687
Asia,Arabia Saudí,Viñedo,Superficie,2013,ha, 13 116
Asia,Arabia Saudí,Viñedo,Superficie,2014,ha, 4 103
Asia,Arabia Saudí,Viñedo,Superficie,2015,ha, 4 091
Asia,Arabia Saudí,Viñedo,Superficie,2016,ha, 4 081
Asia,Arabia Saudí,Viñedo,Superficie,2017,ha, 4 069
Asia,Arabia Saudí,Viñedo,Superficie,2018,ha, 4 061
Asia,Arabia Saudí,Viñedo,Superficie,2019,ha, 5 780
Asia,Arabia Saudí,Viñedo,Superficie,2020,ha, 4 028
Asia,Arabia Saudí,Viñedo,Superficie,2021,ha, 4 219
Asia,Arabia Saudí,Viñedo,Superficie,2022,ha, 5 074
Asia,Arabia Saudí,Viñedo,Superficie,2023,ha, 5 074
África,Argelia,Viñedo,Superficie,2013,ha, 78 853
África,Argelia,Viñedo,Superficie,2014,ha, 71 398
África,Argelia,Viñedo,Superficie,2015,ha, 70 927
África,Argelia,Viñedo,Superficie,2016,ha, 75 591
África,Argelia,Viñedo,Superficie,2017,ha, 74 787
África,Argelia,Viñedo,Superficie,2018,ha, 74 579
África,Argelia,Viñedo,Superficie,2019,ha, 73 798
África,Argelia,Viñedo,Superficie,2020,ha, 74 518
África,Argelia,Viñedo,Superficie,2021,ha, 68 201
África,Argelia,Viñedo,Superficie,2022,ha, 69 574
África,Argelia,Viñedo,Superficie,2023,ha, 69 574
América,Argentina,Viñedo,Superficie,2013,ha, 223 811
América,Argentina,Viñedo,Superficie,2014,ha, 226 388
América,Argentina,Viñedo,Superficie,2015,ha, 224 707
América,Argentina,Viñedo,Superficie,2016,ha, 223 944
América,Argentina,Viñedo,Superficie,2017,ha, 220 848
América,Argentina,Viñedo,Superficie,2018,ha, 218 233
América,Argentina,Viñedo,Superficie,2019,ha, 215 169
América,Argentina,Viñedo,Superficie,2020,ha, 214 798
América,Argentina,Viñedo,Superficie,2021,ha, 211 099
América,Argentina,Viñedo,Superficie,2022,ha, 207 047
América,Argentina,Viñedo,Superficie,2023,ha, 204 847
Asia,Armenia,Viñedo,Superficie,2013,ha, 17 500
Asia,Armenia,Viñedo,Superficie,2014,ha, 17 215
Asia,Armenia,Viñedo,Superficie,2015,ha, 17 296
Asia,Armenia,Viñedo,Superficie,2016,ha, 17 100
Asia,Armenia,Viñedo,Superficie,2017,ha, 15 800
Asia,Armenia,Viñedo,Superficie,2018,ha, 16 090
Asia,Armenia,Viñedo,Superficie,2019,ha, 16 007
Asia,Armenia,Viñedo,Superficie,2020,ha, 16 072
Asia,Armenia,Viñedo,Superficie,2021,ha, 16 200
Asia,Armenia,Viñedo,Superficie,2022,ha, 16 500
Asia,Armenia,Viñedo,Superficie,2023,ha, 16 500
Oceanía,Australia,Viñedo,Superficie,2013,ha, 156 537
Oceanía,Australia,Viñedo,Superficie,2014,ha, 153 723
Oceanía,Australia,Viñedo,Superficie,2015,ha, 146 884
Oceanía,Australia,Viñedo,Superficie,2016,ha, 148 913
Oceanía,Australia,Viñedo,Superficie,2017,ha, 151 087
Oceanía,Australia,Viñedo,Superficie,2018,ha, 153 261
Oceanía,Australia,Viñedo,Superficie,2019,ha, 158 835
Oceanía,Australia,Viñedo,Superficie,2020,ha, 158 961
Oceanía,Australia,Viñedo,Superficie,2021,ha, 158 961
Oceanía,Australia,Viñedo,Superficie,2022,ha, 158 961
Oceanía,Australia,Viñedo,Superficie,2023,ha, 158 961
Europa,Austria,Viñedo,Superficie,2013,ha, 43 990
Europa,Austria,Viñedo,Superficie,2014,ha, 44 790
Europa,Austria,Viñedo,Superficie,2015,ha, 45 438
Europa,Austria,Viñedo,Superficie,2016,ha, 46 487
Europa,Austria,Viñedo,Superficie,2017,ha, 48 054
Europa,Austria,Viñedo,Superficie,2018,ha, 48 646
Europa,Austria,Viñedo,Superficie,2019,ha, 48 491
Europa,Austria,Viñedo,Superficie,2020,ha, 48 062
Europa,Austria,Viñedo,Superficie,2021,ha, 44 912
Europa,Austria,Viñedo,Superficie,2022,ha, 44 728
Europa,Austria,Viñedo,Superficie,2023,ha, 44 535
Asia,Azerbaiyán,Viñedo,Superficie,2013,ha, 14 113
Asia,Azerbaiyán,Viñedo,Superficie,2014,ha, 15 900
Asia,Azerbaiyán,Viñedo,Superficie,2015,ha, 16 100
Asia,Azerbaiyán,Viñedo,Superficie,2016,ha, 16 000
Asia,Azerbaiyán,Viñedo,Superficie,2017,ha, 16 100
Asia,Azerbaiyán,Viñedo,Superficie,2018,ha, 16 100
Asia,Azerbaiyán,Viñedo,Superficie,2019,ha, 16 100
Asia,Azerbaiyán,Viñedo,Superficie,2020,ha, 16 100
Asia,Azerbaiyán,Viñedo,Superficie,2021,ha, 16 000
Asia,Azerbaiyán,Viñedo,Superficie,2022,ha, 15 732
Asia,Azerbaiyán,Viñedo,Superficie,2023,ha, 15 732
Asia,Baréin,Viñedo,Superficie,2013,ha,  52
Asia,Baréin,Viñedo,Superficie,2014,ha,  52
Asia,Baréin,Viñedo,Superficie,2015,ha,  52
Asia,Baréin,Viñedo,Superficie,2016,ha,  52
Asia,Baréin,Viñedo,Superficie,2017,ha,  52
Asia,Baréin,Viñedo,Superficie,2018,ha,  52
Asia,Baréin,Viñedo,Superficie,2019,ha,  52
Asia,Baréin,Viñedo,Superficie,2020,ha,  53
Asia,Baréin,Viñedo,Superficie,2021,ha,  53
Asia,Baréin,Viñedo,Superficie,2022,ha,  54
Asia,Baréin,Viñedo,Superficie,2023,ha,  54
Europa,Bélgica,Viñedo,Superficie,2013,ha,  165
Europa,Bélgica,Viñedo,Superficie,2014,ha,  171
Europa,Bélgica,Viñedo,Superficie,2015,ha,  197
Europa,Bélgica,Viñedo,Superficie,2016,ha,  254
Europa,Bélgica,Viñedo,Superficie,2017,ha,  347
Europa,Bélgica,Viñedo,Superficie,2018,ha,  384
Europa,Bélgica,Viñedo,Superficie,2019,ha,  441
Europa,Bélgica,Viñedo,Superficie,2020,ha,  587
Europa,Bélgica,Viñedo,Superficie,2021,ha,  692
Europa,Bélgica,Viñedo,Superficie,2022,ha,  803
Europa,Bélgica,Viñedo,Superficie,2023,ha,  891
Europa,Bielorrusia,Viñedo,Superficie,2013,ha, 3 763
Europa,Bielorrusia,Viñedo,Superficie,2014,ha, 4 623
Europa,Bielorrusia,Viñedo,Superficie,2015,ha, 6 665
Europa,Bielorrusia,Viñedo,Superficie,2016,ha, 6 030
Europa,Bielorrusia,Viñedo,Superficie,2017,ha, 5 761
Europa,Bielorrusia,Viñedo,Superficie,2018,ha, 8 624
Europa,Bielorrusia,Viñedo,Superficie,2019,ha, 8 084
Europa,Bielorrusia,Viñedo,Superficie,2020,ha, 8 534
Europa,Bielorrusia,Viñedo,Superficie,2021,ha, 9 469
Europa,Bielorrusia,Viñedo,Superficie,2022,ha, 9 059
Europa,Bielorrusia,Viñedo,Superficie,2023,ha, 9 059
América,Bolivia,Viñedo,Superficie,2013,ha, 4 858
América,Bolivia,Viñedo,Superficie,2014,ha, 3 200
América,Bolivia,Viñedo,Superficie,2015,ha, 3 244
América,Bolivia,Viñedo,Superficie,2016,ha, 3 283
América,Bolivia,Viñedo,Superficie,2017,ha, 3 426
América,Bolivia,Viñedo,Superficie,2018,ha, 3 500
América,Bolivia,Viñedo,Superficie,2019,ha, 3 577
América,Bolivia,Viñedo,Superficie,2020,ha, 3 610
América,Bolivia,Viñedo,Superficie,2021,ha, 4 264
América,Bolivia,Viñedo,Superficie,2022,ha, 4 330
América,Bolivia,Viñedo,Superficie,2023,ha, 4 330
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2013,ha, 5 514
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2014,ha, 5 822
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2015,ha, 4 888
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2016,ha, 5 108
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2017,ha, 4 773
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2018,ha, 4 869
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2019,ha, 4 679
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2020,ha, 4 758
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2021,ha, 4 873
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2022,ha, 3 088
Europa,Bosnia y Herzegovina,Viñedo,Superficie,2023,ha, 3 088
América,Brasil,Viñedo,Superficie,2013,ha, 89 768
América,Brasil,Viñedo,Superficie,2014,ha, 88 634
América,Brasil,Viñedo,Superficie,2015,ha, 87 003
América,Brasil,Viñedo,Superficie,2016,ha, 86 408
América,Brasil,Viñedo,Superficie,2017,ha, 83 880
América,Brasil,Viñedo,Superficie,2018,ha, 81 647
América,Brasil,Viñedo,Superficie,2019,ha, 81 411
América,Brasil,Viñedo,Superficie,2020,ha, 80 438
América,Brasil,Viñedo,Superficie,2021,ha, 80 633
América,Brasil,Viñedo,Superficie,2022,ha, 81 312
América,Brasil,Viñedo,Superficie,2023,ha, 81 485
Europa,Bulgaria,Viñedo,Superficie,2013,ha, 64 400
Europa,Bulgaria,Viñedo,Superficie,2014,ha, 63 000
Europa,Bulgaria,Viñedo,Superficie,2015,ha, 64 100
Europa,Bulgaria,Viñedo,Superficie,2016,ha, 64 200
Europa,Bulgaria,Viñedo,Superficie,2017,ha, 65 190
Europa,Bulgaria,Viñedo,Superficie,2018,ha, 66 848
Europa,Bulgaria,Viñedo,Superficie,2019,ha, 67 055
Europa,Bulgaria,Viñedo,Superficie,2020,ha, 65 870
Europa,Bulgaria,Viñedo,Superficie,2021,ha, 65 164
Europa,Bulgaria,Viñedo,Superficie,2022,ha, 65 261
Europa,Bulgaria,Viñedo,Superficie,2023,ha, 62 240
América,Canadá,Viñedo,Superficie,2013,ha, 12 449
América,Canadá,Viñedo,Superficie,2014,ha, 12 132
América,Canadá,Viñedo,Superficie,2015,ha, 11 932
América,Canadá,Viñedo,Superficie,2016,ha, 12 488
América,Canadá,Viñedo,Superficie,2017,ha, 12 457
América,Canadá,Viñedo,Superficie,2018,ha, 12 399
América,Canadá,Viñedo,Superficie,2019,ha, 12 780
América,Canadá,Viñedo,Superficie,2020,ha, 13 168
América,Canadá,Viñedo,Superficie,2021,ha, 13 191
América,Canadá,Viñedo,Superficie,2022,ha, 12 601
América,Canadá,Viñedo,Superficie,2023,ha, 12 601
América,Chile,Viñedo,Superficie,2013,ha, 206 509
América,Chile,Viñedo,Superficie,2014,ha, 212 870
América,Chile,Viñedo,Superficie,2015,ha, 213 954
América,Chile,Viñedo,Superficie,2016,ha, 209 040
América,Chile,Viñedo,Superficie,2017,ha, 207 283
América,Chile,Viñedo,Superficie,2018,ha, 208 171
América,Chile,Viñedo,Superficie,2019,ha, 210 008
América,Chile,Viñedo,Superficie,2020,ha, 207 488
América,Chile,Viñedo,Superficie,2021,ha, 182 284
América,Chile,Viñedo,Superficie,2022,ha, 182 195
América,Chile,Viñedo,Superficie,2023,ha, 171 931
Asia,"China, continental",Viñedo,Superficie,2013,ha, 695 063
Asia,"China, continental",Viñedo,Superficie,2014,ha, 740 729
Asia,"China, continental",Viñedo,Superficie,2015,ha, 770 141
Asia,"China, continental",Viñedo,Superficie,2016,ha, 769 926
Asia,"China, continental",Viñedo,Superficie,2017,ha, 759 541
Asia,"China, continental",Viñedo,Superficie,2018,ha, 779 483
Asia,"China, continental",Viñedo,Superficie,2019,ha, 780 654
Asia,"China, continental",Viñedo,Superficie,2020,ha, 765 798
Asia,"China, continental",Viñedo,Superficie,2021,ha, 754 166
Asia,"China, continental",Viñedo,Superficie,2022,ha, 757 993
Asia,"China, continental",Viñedo,Superficie,2023,ha, 755 719
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2013,ha, 3 130
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2014,ha, 3 119
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2015,ha, 3 165
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2016,ha, 3 083
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2017,ha, 3 040
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2018,ha, 2 994
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2019,ha, 2 919
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2020,ha, 2 660
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2021,ha, 2 652
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2022,ha, 2 568
Asia,"China, Taiwán provincia de",Viñedo,Superficie,2023,ha, 2 568
Europa,Chipre,Viñedo,Superficie,2013,ha, 8 605
Europa,Chipre,Viñedo,Superficie,2014,ha, 8 417
Europa,Chipre,Viñedo,Superficie,2015,ha, 7 870
Europa,Chipre,Viñedo,Superficie,2016,ha, 7 807
Europa,Chipre,Viñedo,Superficie,2017,ha, 7 908
Europa,Chipre,Viñedo,Superficie,2018,ha, 7 827
Europa,Chipre,Viñedo,Superficie,2019,ha, 7 274
Europa,Chipre,Viñedo,Superficie,2020,ha, 7 773
Europa,Chipre,Viñedo,Superficie,2021,ha, 7 635
Europa,Chipre,Viñedo,Superficie,2022,ha, 7 330
Europa,Chipre,Viñedo,Superficie,2023,ha, 7 330
América,Colombia,Viñedo,Superficie,2013,ha, 2 423
América,Colombia,Viñedo,Superficie,2014,ha, 2 338
América,Colombia,Viñedo,Superficie,2015,ha, 2 380
América,Colombia,Viñedo,Superficie,2016,ha, 2 592
América,Colombia,Viñedo,Superficie,2017,ha, 2 767
América,Colombia,Viñedo,Superficie,2018,ha, 3 973
América,Colombia,Viñedo,Superficie,2019,ha, 4 292
América,Colombia,Viñedo,Superficie,2020,ha, 2 687
América,Colombia,Viñedo,Superficie,2021,ha, 3 131
América,Colombia,Viñedo,Superficie,2022,ha, 3 242
América,Colombia,Viñedo,Superficie,2023,ha, 3 242
